Date,DAILY_AQI_VALUE
10/01/2016,19
10/02/2016,12
10/03/2016,14
10/04/2016,34
10/05/2016,38
10/06/2016,24
10/07/2016,25
10/08/2016,34
10/09/2016,26
10/10/2016,22
10/11/2016,24
10/12/2016,29
10/13/2016,40
10/14/2016,39
10/15/2016,78
10/16/2016,53
10/17/2016,12
10/18/2016,17
10/19/2016,13
10/20/2016,30
10/21/2016,51
10/22/2016,50
10/23/2016,28
10/24/2016,17
10/25/2016,19
10/26/2016,25
10/27/2016,25
10/28/2016,20
10/29/2016,20
10/30/2016,14
10/31/2016,14
11/01/2016,23
11/02/2016,25
11/03/2016,45
11/04/2016,61
11/05/2016,60
11/06/2016,52
11/07/2016,49
11/08/2016,45
11/09/2016,52
11/10/2016,56
11/11/2016,63
11/12/2016,48
11/13/2016,30
11/14/2016,27
11/15/2016,30
11/16/2016,24
11/17/2016,16
11/18/2016,25
11/19/2016,20
11/20/2016,10
11/21/2016,14
11/22/2016,17
11/23/2016,19
11/24/2016,22
11/25/2016,28
11/26/2016,20
11/27/2016,19
11/28/2016,13
11/29/2016,18
11/30/2016,25
12/01/2016,31
12/02/2016,17

