Date,MAXtemp(F),MINtemp(F),AVGtemp(F),DEP,HDD,Percipitation(inch),Snow,Avgwindspeed(mph),MaxWindSpeed(mph)
11/01/11,50,32,41,-6,24,0.31,0.01,12.7,35
11/02/11,48,27,38,-8,27,0,0,4.7,13
11/03/11,58,28,43,-3,22,0,0,12.3,29
11/04/11,64,33,49,4,16,0.27,0.01,14.1,31
11/05/11,36,29,33,-12,32,0.24,3.2,8.1,18
11/06/11,44,28,36,-8,29,0,0,6.7,17
11/07/11,44,29,37,-7,28,0.01,0.01,7.3,20
11/08/11,42,27,35,-9,30,0,0,3.1,12
11/09/11,45,24,35,-8,30,0,0,4.6,15
11/10/11,50,25,38,-4,27,0,0,3.8,9
11/11/11,50,25,38,-4,27,0,0,4.8,21
11/12/11,51,33,42,0,23,0.18,0.6,14.4,31
11/13/11,51,34,43,2,22,0.11,0,5.8,15
11/14/11,57,37,47,6,18,0,0,7.7,17
11/15/11,48,32,40,0,25,0,0,4.6,13
11/16/11,47,27,37,-3,28,0,0,2.9,9
11/17/11,55,32,44,5,21,0,0,12.7,24
11/18/11,52,32,42,3,23,0.3,1.1,16.5,31
11/19/11,37,26,32,-6,33,0.06,0.6,2.4,25
11/20/11,39,24,32,-6,33,0.01,0.01,3.8,16
11/21/11,46,33,40,3,25,0.13,0,4.5,10
11/22/11,54,34,44,7,21,0,0,10.3,21
11/23/11,62,38,50,14,15,0,0,10.3,24
11/24/11,60,41,51,15,14,0,0,10.4,22
11/25/11,52,28,40,4,25,0.01,0,9.4,36
11/26/11,43,23,33,-2,32,0,0,2.2,8
11/27/11,49,24,37,2,28,0,0,3.9,10
11/28/11,46,24,35,1,30,0,0,3.2,14
11/29/11,53,26,40,6,25,0,0,2.2,18
11/30/11,45,26,36,2,29,0.02,0.01,7.3,22
12/01/11,43,27,35,2,30,0,0,10.8,28
12/02/11,41,21,31,-2,34,0.01,0.01,5.4,15
12/03/11,38,22,30,-3,35,0.01,0.01,8.3,20
12/04/11,31,21,26,-6,39,0.01,0.01,4.5,14
12/05/11,29,15,22,-10,43,0,0,4.5,14
12/06/11,33,15,24,-8,41,0,0,5.7,13
12/07/11,36,16,26,-6,39,0,0,3.9,9
12/08/11,37,19,28,-3,37,0,0,1.8,8
12/09/11,40,20,30,-1,35,0,0,3.3,10
12/10/11,41,20,31,0,34,0,0,3.5,10
12/11/11,39,19,29,-2,36,0,0,2.3,8
12/12/11,44,18,31,1,34,0,0,2.1,10
12/13/11,32,25,29,-1,36,0.02,0.01,2.9,9
12/14/11,35,23,29,-1,36,0.01,0.01,2.6,7
12/15/11,30,24,27,-3,38,0.01,0.01,4.1,12
12/16/11,31,19,25,-5,40,0,0,3,10
12/17/11,33,18,26,-4,39,0.01,0.01,3.6,10
