Day of month,MAX Temp (F),MIN Temp (F),AVG Temp (F),DEP,HDD,CDD,Percipitation (inch),Snow,12ZDPTH,Avg wind speed (mph),Max wind speed (mph),2minDIR,MIN,PSBL,Weather type,WX,Peak wind speed,Wind direction (deg)
1,81,58,70,11,0,5,T,0.0,0,11.8,26,170,M,M,3,3,33,160
2,81,55,68,9,0,3,0.01,0.0,0,13.5,32,190,M,M,7,3,49,210
3,66,46,56,-2,9,0,T,0.0,0,14.0,31,260,M,M,6,3,42,260
4,60,41,51,-7,14,0,0.00,0.0,0,7.4,14,320,M,M,4,,19,360
5,58,41,50,-7,15,0,0.10,0.0,0,7.3,28,290,M,M,7,3,35,280
6,59,38,49,-8,16,0,0.01,0.0,0,6.4,13,220,M,M,2,,18,190
7,68,40,54,-2,11,0,0.00,0.0,0,7.0,15,350,M,M,1,,23,330
8,71,41,56,0,9,0,0.00,0.0,0,5.6,10,330,M,M,3,,15,350
9,77,45,61,5,4,0,0.00,0.0,0,6.9,14,130,M,M,1,,16,140
10,80,55,68,13,0,3,0.00,0.0,0,11.4,24,180,M,M,3,,31,180
11,70,50,60,5,5,0,0.00,0.0,0,8.2,17,170,M,M,4,,23,160
12,67,43,55,1,10,0,0.00,0.0,0,4.2,9,320,M,M,3,,12,330
13,75,44,60,6,5,0,0.00,0.0,0,6.3,15,140,M,M,3,,19,150
14,74,58,66,12,0,1,0.00,0.0,0,16.1,38,310,M,M,5,8,50,310
15,76,53,65,12,0,0,T,0.0,0,8.8,26,160,M,M,3,,35,170
16,72,45,59,6,6,0,0.01,0.0,0,12.7,33,150,M,M,7,8,42,160
17,59,43,51,-2,14,0,0.35,0.0,0,7.7,25,340,M,M,6,18,29,330
18,60,42,51,-1,14,0,0.00,0.0,0,7.2,29,330,M,M,6,,33,340
19,56,41,49,-3,16,0,0.01,M,0,5.5,13,330,M,M,4,1,17,320
20,62,36,49,-2,16,0,0.00,0.0,0,4.7,13,340,M,M,2,,15,340
21,68,37,53,2,12,0,0.00,0.0,0,4.0,12,290,M,M,0,,14,280
22,70,40,55,4,10,0,0.00,0.0,0,4.6,15,290,M,M,1,18,18,290
23,76,44,60,10,5,0,0.00,0.0,0,6.7,18,160,M,M,5,,24,160
24,67,59,63,13,2,0,T,0.0,0,13.8,31,170,M,M,8,18,39,150
25,70,51,61,11,4,0,0.00,0.0,0,9.0,21,180,M,M,4,,24,180
26,75,49,62,13,3,0,0.00,0.0,0,8.3,22,150,M,M,1,,28,160
